device_id,ref_type_id,source_id,pred_KNN,pred_RF
1000169251625791246,1,1,81316.7497261549,79298.49245177922
1000395625957344683,1,8,81094.7963455939,92193.07473980954
1003027494996471685,1,0,81768.11804951962,83109.41067712914
1006670001679961544,7,0,80504.59530567787,83109.41067712914
1007573308966476713,1,1,81028.1090101483,79298.49245177922
1010070503877148763,7,0,82565.65713145552,83109.41067712914
1010265377387765028,1,0,82768.31802644469,83109.41067712914
1010531372912327058,1,1,82217.8386000465,79298.49245177922
1011610998357271358,1,1,81785.23591843476,79298.49245177922
1013543838965040946,1,1,80942.50309329486,79298.49245177922
1014428234021750342,7,1,81405.13089310502,79298.49245177922
101763096421653092,1,3,81270.99177012665,82621.70099012747
1017668882534236751,1,7,82553.95566488587,69434.74600795352
1017958004932387739,7,0,82544.72111602385,83109.41067712914
1018126962792619181,7,1,82539.78167020736,79298.49245177922
1021582875881379650,7,7,81498.28703137078,75214.15224355509
1022093956983448460,1,3,81481.60521021638,82621.70099012747
1022155574388897311,1,0,81448.70215538083,83109.41067712914
1024792555410741306,1,1,83148.16911920712,79298.49245177922
1026825193119998092,1,0,81771.35075706829,83109.41067712914
1030603044158081433,1,3,82041.55631206842,82621.70099012747
1030865855693267844,1,7,81919.78958265664,69434.74600795352
1032938399279723623,1,1,82145.33884203642,79298.49245177922
1036919443887988520,1,1,82523.56187362572,79298.49245177922
1037575899869926,1,1,89942.06187978217,79298.49245177922
1042912100594917197,1,1,81401.21635722561,79298.49245177922
104412862089502190,1,1,80578.68404438593,79298.49245177922
1048460865075142817,1,0,80712.41303851607,83109.41067712914
1048487908287530052,1,1,80674.41998567425,79298.49245177922
1048782984015604883,7,1,80705.43524138538,79298.49245177922
1052346027668414186,1,1,82172.47753056903,79298.49245177922
1052782935269141271,1,1,82324.81070507674,79298.49245177922
105337483767914646,1,1,80998.4657837005,79298.49245177922
1053399148291039201,1,4,82390.6186694017,96670.42493645004
1054881396892383323,1,0,81675.31850598168,83109.41067712914
1055760083915480820,7,1,81770.25448773625,79298.49245177922
1056749944537419493,7,0,81853.86006429423,83109.41067712914
1058525390691423513,1,1,82362.17384478796,79298.49245177922
1062274422372114651,1,0,82865.23879073806,83109.41067712914
1069066119870904979,1,3,82362.19823398942,82621.70099012747
